Codigo,Nombre imagen, nombre espanol,nombre ingles,precio,detalle espano,detalle ingles,tipo producto,cantidad
P30101,MARETTI PIZZA.png,Maretti Pizza,Maretti Pizza,7900,Galletas sabor a Pizza,Chips Flovour Pizza,3,15
P30102,CHOCOLATE ROCHER.png,Chocolates Ferrero Rocher,Choclates Ferrero Rocher,10900,Chocolares 4 unidades,Choclates 4 unidades,3,15
P40101,souvenir_1.png,Recuerdo 1,Souvenir 1,50789,Recuerdo Colombiano,Souvenir Colombiano,4,15
P40102,souvenir_2.png,Recuerdo 2,Souvenir 2,23410,Recuerdo Colombiano,Souvenir Colombiano,4,30
P40103,souvenir_3.png,Recuerdo 3,Souvenir 3,10000,Recuerdo Colombiano,Souvenir Colombiano,4,10
P40104,souvenir_4.png,Recuerdo 4,Souvenir 4,10900,Recuerdo Colombiano,Souvenir Colombiano,4,12
P40105,souvenir_5.png,Recuerdo 5,Souvenir 5,20000,Recuerdo Colombiano,Souvenir Colombiano,4,11
P40106,souvenir_6.png,Recuerdo 6,Souvenir 6,30000,Recuerdo Colombiano,Souvenir Colombiano,4,10
P40107,souvenir_7.png,Recuerdo 7,Souvenir 7,30500,Recuerdo Colombiano,Souvenir Colombiano,4,09
P40108,souvenir_8.png,Recuerdo 8,Souvenir 8,40300,Recuerdo Colombiano,Souvenir Colombiano,4,08
P40109,souvenir_9.png,Recuerdo 9,Souvenir 9,12000,Recuerdo Colombiano,Souvenir Colombiano,4,20
P40110,souvenir_10.png,Recuerdo 10,Souvenir 10,3500,Recuerdo Colombiano,Souvenir Colombiano,4,01
